Drug	Content	Joined	Posted	Age	Gender
Metformin+diabetes+type+2	When I had a heart attack (MI) in 1992 I was diagnosed as a type 2 diabetic and was advised of the need to take insulin for the rest of my life.As the years went by and my insulin intake increased along with my weight but my sugar level remained fairly consistent HbA1c approx 7.2. In 2005 I decided on a life style change predominantly targeted at reducing my weight and found that I could reduce my insulin intake.Within six months I no longer needed to take insulin at all and my HbA1c went down to 6.1 and now for two years I still don't need to inject insulin or take any insulin type medication. This year I started to explore if it was possible to lower my blood sugar levels to an non diabetic level and have made progress in that direction by adding alpha lipoic acid to my daily intake and almost immediately saw by blood sugar drop and have a average reading of 5 which should mean my next HbA1c test is much lower than previously ; namely in the region of 5 . As I have been making this change my cholesterol medication has dropped from 40mg per day to 5 ; with the hope I can get off it completely and blood pressure medication reduced by 50%. I am curious to know of other peoples experience with alpha lipoic acid.	2007	2008		Male
Metformin+diabetes+type+2	I was diagnosed with type 2 diabetes 6 months ago and placed on Metformin 500mg twice a day. Within 30 days I was experiencing frequent nausea (with no vomiting). My MD thought it might be caused by Metformin so he changed to Glucotrol XL 10mg twice a day. For a few days it appeared to work; but the nausea returned and seem to get worse. I had been doing a very poor job of controling what I eat. Could my nausea be caused by high blood sugar ?	2008	2008		
Metformin+diabetes+type+2	Hello doctor; My brother is a down-syndrome.He is having diabetes type 2 since he was 12 years old and now he is 18 years old.His diabetes is under control and he is taking metformin tablet every morning and night before meal.The problem is he is having pimples at his back and sometime the pimples will grow under his arm-pit and face.This pimples are in moderate size unlike the normal pimples and it is uncontrollable.When we brought him to a doctor; the doctor refused to tell us further about the causes of the pimples growth but as he told; the pimples growth is actually related with his diabetes problem.I need an explanation about my brother's condition so that I could get him a better treatment.Please explain to me about the causes of the pimples growth and how it is related with diabetes type 2. Thank you.	2008	2008		
Metformin+diabetes+type+2	Hello all ; I am a 22 yr old female with type 2 diabetes ; I weight about 130 lbs I want to try the HCG because alot of people say it helps lower blood sugar; I am on metformin 1000 daily and also Humalog fast acting as needed per meals . Now Im not trying to lose any weight because I am already skinny ; I want to lower my blood sugar and may by lowering my sugar in turn gain weight; If anybody knows any answers please let me know as much as possibLE	2014	2014	21	Female
Metformin+diabetes+type+2	I am new here and have a question. I am 22 and have never had a period. I was diagnosed with PCOS three or four years ago. I never really thought anything of it. I was never sure if I wanted children and I had no problems with not having to deal with a period. I have moderate hirituism but I could deal with it. Recently I was in the hospital for another condition I have had since birth; everyday when they did the normal labs my blood glucose came back high. Doctors never mentioned it then and I had no clue that was the case until my sports medicine doctor at the university I attend mentioned it during my yearly sports physical. She tested my blood sugar that day and it was high again; yesterday I did the glucose tolerance test and I am waiting for the results. I am not sure if I am over reacting or if it is valid to be worried. Has anyone here been diagnosed with diabetes with PCOS? Did you know you had it/did you have symptoms or was it found with normal testing? What were the symptoms if you had them?	2010	2011	13	Female
Metformin+diabetes+type+2	"This is just the end snippet of a study. Please visit the below link for the whole story. -W ---------------------------------------------------- http://www.elements4health.com/inflammatory-biomarkers-not-reduced-by-insulin-metformin-in-diabetes.html The study concluded that in patients with recent-onset type 2 diabetes; treatment with insulin or metformin compared with placebo did not reduce inflammatory biomarker levels despite improving glucose control. ""From a clinical perspective; until other end-point trial data become available; these data underscore the need to improve adherence with therapies that do reduce cardiovascular events among diabetes patients; including exercise; weight management; smoking cessation and blood pressure control"" the study authors add. -------------------------------------------------------- I draw no conclusions; but other better informed people might about how this may tie into people with HCV or as it pertains to HCV; TX and response rates. best; Willy"	2006	2009		Male
Metformin+diabetes+type+2	I was diagnosed 6 years ago with Graves and treated with radioactive iodine. Seemed to do the trick and I went hypo; then treated with levrotyroxine. 6 years later I develop type 2 diabetes. Both these diseases by different doctors were treated like a cold; take these pills and call me in the morning. Another words; I was never told how to care for either. Went I went to the hospital my diabetes #'s were 1000 and my cholesterol was 1200; blood pressure 150 over 98. They recommended metformin; glipizide; lisinopril; aspirin; and cholesterol meds. Now; I have low blood sugar down to 30 by the time I treat it; hurting calves all the time and either feel nausea or crappy all the time. the Doc can't seem to get them both under control and is constantly testing while I feel like ****. I am going to see another Endo; but is there any advice out there?	2008	2008		
Metformin+diabetes+type+2	I have recently diagnosed with type 2 diabetes; my fasting blood sugar was 175. I am sure that these are on the higher side of the scale. My doctor adviced me to go retest after 2 weeks of exercise and strict diet control. Hence i completely changed my diet; no sugar; substantial decrease of carbs; relying on vegetables and sprouts or protein contents with additon to the 5-6 KM of walking. After two weeks when i went on re test; it was 140 on fasting. I have not used any medicine. But my question is how long i have to adopt ? is it reversible can i get back to < 100 ? BTW I am a vegetarian; 40 years old an 82Kgs in weight.	2017	2017	39	Male
Metformin+diabetes+type+2	I am looking for a diet plan that I can put into action to bring my Diabetes under control along with the medication I am taking.	2014	2014	60	Male
Metformin+diabetes+type+2	Hello everyone..I have been Type 2 Diabetic for 19 months now and I am on a few Medications such as..Humalog 50-25 units 3 times per day and Byetta 10 unitis 2 times per day and Metformin 2 times per day and Atrovastatin once per day..when I was diagnosed I weighed 120kg now I weigh 154kg; I have been in Terrible pain over the past year..my right and left foot and toes are constently paining and my lower back and hips are always painful also my left elbow joint and my fingers are starting to pain..I have been to my GP over and over again and they keep on telling me its my weight and keep giving me pain killers to mask the pain..i am 6ft4 and dont look that fat.they say been a Diabetic causes nerve damage..and there is no treatment for this so all they can advise me it to lose the weight and take pain killers!! then i go to a Diabtec Specialist and he says as long as im on Insulin i will always pick up weight..and he put me on a course of Byetta that works with the Insulin to increase weight loss!! but is hasnt worked i am still the same weight or maybe more..now he has recomended me to go for Weight loss Surgery!! does anyone know what i should do about my Pain and Weight or any advise please that could be constructive...thanks in advance and excuse my spelling and grammer :)	2015	2015	42	Male
Metformin+diabetes+type+2	A 50 yo male with type 2 DM was admitted with complaints of dysuria and non-specific abdominal pain for 1 week; accompanied by malaise followed by fevers and chills. Meds used: Glyburide ; Metformin ; Lisinopril ; ASA. PE: The patient appeared ill; with low grade fever; marked tachycardia and orthostatic hypotension; but examination was otherwise nonspecific. No cardiac murmur was present; and the prostate was non-tender. Primary Diagnosis and tests required???	2011	2011	27	Male
Metformin+diabetes+type+2	Can I take GHR Essentials if I have Type 1 Diabetes?	2013	2013	45	Female
Metformin+diabetes+type+2	Hey moms; I was diagnosed with type 2 diabetes early last year. I'm 10w 2d and was just curious if there were any other type 2 moms out there. Would love some support from others.	2014	2015		Female
Metformin+diabetes+type+2	HI I have type 2 diabetes n im 9 weeks. I dont take medication for it I try to control it by eating healthy. But im really worried if it can affect my baby so when I go to my ob next week for the first time what option would I have i mean I will take It if they tell me to for my baby . Is anyone else a diabetic? How was your experience ? Was the baby ok after birth?	2012	2012		Female
Metformin+diabetes+type+2	I have weened myself off Lantus Solostar insulin and have not taken it for months. I got my A1C's down from 12.2 to 6.9 in 3 months and normal BS every day. Ate healthy.. Well I have been very bad again and I went to lunch and had fried seafood and then a sundae at Dairy Queen. Mouth very dry and thirsty as anything. Checked my blood Sugar and it was 459. I took my Metformin early to try and bring it down. Can I take maybe 10 units of the Lantus to try and bring it down a little more? Just wondering if the long acting works that way. Thanx Liz	2010	2016		
Metformin+diabetes+type+2	I am taking medicine since six months. My diabetes FBS is varies between 114 to 140 and and PPBS 140 to 238. Earlier doctor recommended metformin hydrochloride sustained release tablet 500 mg and glimepiride tablet 2 mg. Now doctor has increased metformin hydrochloride sustained release tablet to 1000 mg	2014	2014		Male
Metformin+diabetes+type+2	diagnosed a type 2 diabetic last year but doctor thinks I have had it for 15years. I never went to see them until I got problems with my sight I have prolific diabetic retinopathy and am now register blind. I have metformin and am having laser to try and save some sight in one eye. I had all the blood tests before they confirmed diabetes and 2weeks ago they said they wanted a urine sample which came back high they nurse said so I had to repeat it. Had a call to go see doctor tomorrow as they said they next sample was abnormal. what do they mean and what should I expect when I see doctor tomorrow. Also my skin is so itchy should I tell him.	2014	2014	69	Male
Metformin+diabetes+type+2	I am a 61 yr old woman. For about 2 years I have had type 2 adult onset diabetes. Food mangement with Metformin and Glyburide. MG. usually 80- 140. Yesterday I was sick with flu like symptoms including a fever and chills. I slept off and on for 36 hrs while getting up to eat what I could. My left foot and ankle have been swelling for about 3 yrs and more so for the last yr as I now sit more at work. This morning I got up to find my left foot; ankle and lower leg with a red rash somewhat raised; and tender. My (Dr.) is an ARNP and has been for around the last 2 yrs. I have asked her about it and the off and on tenderness in my right lower back. She told me to buy compress socks and ordered a urine test. The socks I did not buy and the test was okay. I have wondered if it has something to do with my kidneys? Probably would have shown up in routine diabetes blood tests? I am having mixed feelings about finding a Dr. that is more experienced. What do you think about my foot; leg swelling. my lower back and getting a more experienced health provider? Thanks so much.	2011	2011	60	Female
Metformin+diabetes+type+2	I exercise every morning by walking 2 miles. I am a type 2 diabetic. I do not eat before exercise at five thirty every day. I am taking metformin glimperide januvia and atenolol for my high blood pressure. Before i exercise blood sugars are 156. After exercise they go to 226. Why? I take my meds about fifteen minutes before my exercise routine. Blood sugars continusously drop as the day goes on. before dinner time they can be 100. after eating they drop to 60 sometimes. Please respond	2010	2010		Male
Metformin+diabetes+type+2	Hi there; I'm 26 and I have been diagnosed with PCOS 3 years ago. I can't get much out of my doctor; so I wanted to ask you to tell me your experiences with this syndrome -- What are your insulin levels for instace? Mine was 3 times higher than normal when I checked it 2 years ago! How many of you have already developed diabetes? Does everyone with PCOS develop diabetes and; if so; when? At what age? I'm taking Metformin; Spironolactone and Yasmin everyday. I also have a very health diet; with roughly 120 - 140 gr carbs per day. I have a normal weight of about 55 kg at 165 cm. Even so I get hypoglycemic spells once in a while - with all the symptoms; cold sweat; blurred vision; trembling; faintness etc...And many times during the day I feel weird - I have many lows with no energy at all and again blurred vision...I almost feel the effect of every food I take in; which is horrible! I get sleepy and dizzy after eating sometimes. I know I get hypoglycemic often; I wonder if I get hyperglycemic also. Last time I checked I had normal fasting glucose levels but I know that only the tolerance test to know for sure....What's your experience with diabetes? Please advise; thank you!	2009	2009	25	Female
Metformin+diabetes+type+2	what type of food should you eat when your doctor tell you you are pre diabetes. and put you on metformin?	2011	2011		
Metformin+diabetes+type+2	i am 33 yrs old. During pregancy; i was detected to be diabetic (type 2). then after i.e. since 2004; i am taking medicines prescribed by my doctor; i am taking a pill of metformin(SR) 500mg after lunch and glimipride 2 mg 30 mins before dinner. my FBG is always more than 225 and my PPBG is always more than 300. pl suggest me some better remedy to bring my sugar level in control. i have full diat controll and taking milk with sugar free pills. i am not taking sweets at all since last 5-6 yrs. i walked daily for 30 mins. my wieght is 65 kg. i want 2nd issue. what care should i take. pl help me out. thanks a lot. in my family; we all cousines especially sisters only are diabetic.	2011	2011	33	Female
Metformin+diabetes+type+2	I am a type two diabetic. I am on insulin and metiformin. I have been diabetic since 07. My ac1 was at 12 something last year. It came down to 9.7. Just yesterday I found out I am at 6.4 for my AC1 level. My diabetes doctor told me if I saw a weight lost doctor I could possibly have a chance of getting off of my insulin. Is that true?	2013	2013		Male
Metformin+diabetes+type+2	I am 42 years old Diabetic for 5 years on Metformin 500mg XL and Amaryl 2 mg. My blood sugars are not controlled. Fasting in 140 s and postprandial 300s. I am following diabetic diet and doing regular exercise/ What is the next step I should do. Please advise. My recent A1C is 8.5. Thank you. Varma	2011	2011		
Metformin+diabetes+type+2	I'm in my early 50's and have never had blood glucose problems. I had blood work done a few months ago that was normal except for very high triglycerides. I also have asymptomatic gall stones. A few weeks ago I notice that there was an increase in the frequency of urination; I was losing weight and vision had become blurry - although not consistently. Recently my doctor found glucose in my urine and a stick test showed the level to be 270. There have been no major changes in my lifestyle. I have been less active than usual. I haven't exercised regularly in several years. What would account for this sudden and dramatic change - from normal fasting blood glucose a few months ago to a reading of 270 now? I have the metformin that was prescribed; but I would much rather be able to regulate my insulin sensitivity naturally. Any help understanding this change would be appreciated.	2008	2008	51	Male
Metformin+diabetes+type+2	Hi I was diagnosed with Gestational Diabetes when I was Pregnant with my Twins in 2012 after having the Glucose Intolerance Test it proved I was slightly over the threshold. I was given Metformin tablets to help bring my Blood Sugars down; and was told that once the twins were born it would go.....But it could come back one day. After having the twins at my 6 weeks post natal check up I had another Glucose Intolerance test done and it showed things were within the normal range. But last year I began showing signs and symptoms of diabetes and went to my G.P who sent me for tests that came back as positive for Type 2 Diabetes. I am currently taking Metformin 500mg 2 tablets twice a day. Anyone else been through the same as me? Will I always have diabetes?? When does it become Type 1??	2015	2015		Female
Metformin+diabetes+type+2	I have had idiopathic angioedema attack as far back as early 1980's; it will flare up and in the past has gone dormaint for years. Now it's back and worse than ever. I was diagnosed with type 2 diabetes about a year ago. So far the diabetes medication seems to cause the flares to be worse. I've tried metformin; actos; glipzide; and the latest one glimepiride (which seems to have by far the worst reactions thus far). Once a flare hits it last for more than 72 hours. I have had all kinds of allergy test run; nothing. I have had all kinds of blood work done. I have a high sed rate and high c-reactive proteins; high cholestrol and triglisrides; severe sleep apnea. The doctors have checked for autoimmune nothing shows. Does anyone have any information on idiopathic angioedema and diabetes combined? I am a 51 year old woman. Any ideas?	2009	2009	51	Female
Metformin+diabetes+type+2	"my question is... what does the dr mean by ""it's hormones."" is this normal for 58 yr old female? what can be done to get bs down in a.m.??"	2012	2012		
Metformin+diabetes+type+2	Can a person develop diabetes after taking Hep C treatment drugs?	2008	2008	45	Female
Metformin+diabetes+type+2	"I am getting these dark red blister looking things on my right foot only. They show up several at time; usually on the sides of my foot and in the arch. They are hard and don't seem to have any fluid in them. One day it will show up and in a week it will go away and there will be lots of dry skin to peel away. Now on the right side of my right foot there is a place the size of a nickel that must have been dark red at one time and now the skin has come off. Its hard for me to get to that side of my foot due to my weight but if i stretch my leg out I can see it. Well; last night I saw that it was like a patch of dry skin and it was like a couple of layers of skin had been removed and the ""inside"" of the spot had a red tint to it; like sunburn; not like a red blister; but it is sore. It never happens on my left foot. Do you know what this might be and how I should treat it? My friends daddy had diabetes and had a sore on his foot and later in life he had to have his legs amputated. This scares me. I have a doctors appointment in about 2 weeks; and will ask him then; but was wondering if I could get some advice here until then. Thank you."	2012	2012	44	Female
Metformin+diabetes+type+2	So; often treatment follows in trend style with certain things being used a lot and then a new way of treating becomes en vogue. What's the current typical regimen of treatment for someone newly diagnosed with Type 2 Diabetes?	2009	2018		Female
Metformin+diabetes+type+2	i have type 2 diabetes and take metformin. i am trying to lose weight by doing the 2 meal replacement shakes from herbalife. is herbalife bad or good for type 2 diabetes. i drank a shake this morning for breakfast and then tested my blood sugar it was 170 and the night before when i went to bed it was 110. i'm also working out trying to lose weight. does herbalife meal replacement shakes raise your blood sugar; therefore bad for type 2 diabetes ?	2012	2012	50	Male
Metformin+diabetes+type+2	I was prediabetic 10 months ago. And I have been walking for 60-90 minutes daily and sometimes body weight exercises. Now the way I feel like tired in morning and through out the day (first day today August 30) I am concerned I might have this disorder because I started to eat sugary foods for few days in last week at night like mangoes; bananas milk; dark and milk chocolate and worst of all; I ate KFC chocolate cookie which I hate most.. If I can't sleep I start eating at night How can I reverse this I know some say its impossible. From this website and doctor say that fasting can help reverse this condition by burning off excess sugar. It does make sense. Is this legitimate. And there are certain supplements like Alpha Lipoic Acid; Chromium Pliconate; Magnesium; etc. I have NOW Magnesium Also I used like to carry groceries from shop to my car and from car to my home. I find it hard to do that as well. I don't know what should I do.	2009	2016	27	Male
Metformin+diabetes+type+2	63 years male; type 2 DM since 2003; HbAc1 9.7% Rx started 2013 Metformin 500mg 1x3 x month HbAc1 7.8% Rx. Metformin 850mg 1x1 x month HbAc1 8.4% Diet bad Exerciser very bad Pls help????	2013	2013		
Metformin+diabetes+type+2	I am 5 w & 4 days pg; and my dr said to come off my metformin until I see a diabetes/pregnancy dr; but last year I was pregnant and sadly we lost the baby; that dr said to keep taking my metformin; anyone else getting conflicting info?	2011	2011	38	Female
Metformin+diabetes+type+2	Hi there- have type 2 diabetes and am doing well on metformin and lifestyle changes. Numbers are well within range now. My question is - even though my diabetes is ' under control' right now- why do I still have urgency to urinate and frequency? I thought that would be controlled as long as my diabetes is controlled. Have not had a uti since way before diagnosis.... and last month when urgency started - went for a urine test which came out clear -- they gave me cipro - which relieved it for a while- but now the urge is back. Any advice is welcome and thank you.	2010	2012		
Metformin+diabetes+type+2	I am a Type II Diabetic. I currently take 1000mg twice daily of Metformin. Worked pretty well for me. Last week started on levothyroxine and now my blood sugar is through the roof. Anyone else have the same problems? It says I might have to alter my diabetes meds. If anyone is out there with the same thing can you recommend a medication that worked for you?	2010	2010		Female
Metformin+diabetes+type+2	Im type 2 diabetic ; latest ac1 is 9.5; I was on metformin 1000 mg and glypicide 10 mg; They have now added apidra 5 to 7 units after each meal; and taken me off the glypicide. My blood sugars are usually between 200 to 300 dome times they get as high as 400 for the last year; But the sugars are always higher when i wake up after fasting which doesnt make sense to me? Also is there any risk of accelerating my type 2 diabetes by injecting insulin at this stage?	2008	2008		
Metformin+diabetes+type+2	Anyone here on Metformin and have a success story? I have been on Metformin for only a month and a half for my PCOS to help regulate me and help me get pregnant. Last week (about 8 days ago) I had some very very light bleeding that only showed when I wiped and it wasn't every time. It only lasted three days and then stopped but my mild cramping; bloating; back pain; gas hasn't stopped and three days ago I had a very sudden on set of a runny nose and scratchy throat that is beginning to finally subside. Am I preggo? Only time and a test will tell but I wasn't expecting it to work this fast and if it did; YAY!	2011	2011	26	Female
Metformin+diabetes+type+2	i have no idea what i should and should not be eating or drinking and im metformin? Im on the metformin for my insulin level.	2011	2011		
Metformin+diabetes+type+2	I've been gently bewildered on the subject of hcv and its relationship to type 2 Diabetes. I have always understood that HCV can cause 'blood sugar abnormalities'. Now that I am svr and expect to have fibrosis improvement (bx revealed 'early cirrhosis'; is there an expectation that the healing of the liver can; in itself; cause an improvement in blood sugar conditions? I am currently taking metformin; trying to diet watch; fairly active; not overwight.	2005	2008		Male
Metformin+diabetes+type+2	Hello. First time posting as I've been diagnosed diabetic only 2 weeks ago. I'm a 30 year old woman; in good health with no other known medical issues; until now. I recently found out that I am diabetic but the doctors can't detemine which type. (I know they can do an antibody test but for some reason it was cancelled.) Here were/are my symptoms so I want to get opinions on type 1 or 2...extreme thirst; fever; sluggish and tired; loss of appetite; keytones in urine; KDA; A1C was 7.9%; low potassium; resting heart rate above 110; extreme vision change and vitamin d deficiency. Blood sugars were anywhere from 300's to 506 at highest point. I had flu-like sickness with a sinus infection and bronchitis earlier in December. Can a sickness cause diabetes to appear out of nowhere? This was just something that hit me out of nowhere...other than my parents being diasgnosed diabetic in their 50's and 60's. I'm on insulin for now and metformin trying to get my sugars under control. I spent a night in hospital trying to get this sorted out. I just want opinions while I wait to get into a specialist. Thanks! :-)	2016	2017		
Metformin+diabetes+type+2	Hello; I am not sure where to post this. I hope this is the right place. I was diagnosed as transitioning to cirrhosis in 2008. I treated over two years ago for HCV and am now cured. About 6 weeks ago I started taking Metformin for Diabetes Type 2. I was a little concerned to take it since my liver is damaged but was told the benefits outweighed the benefits. For the first couple of weeks the side effects were really bad as far as gastrointestinal disorder. I called the doctor and she said that this was normal and to give it time; I would adjust. While that calmed down a bit I continued to feel nauseated and started to have muscle cramps in my shin; rapid heart rate; feeling out a breath; etc. I looked up adverse reactions to metformin on WebMd and saw that many sx were the same as what I was experiencing. My question is this. Is it safe to take Metformin when a person has cirrhosis? I am thinking of stopping the metformin; controlling my sugar level with diet and a supplement called Nopal cactus. I have read that this supplement can help with various problems. I would really appreciate any help you can provide; Dee	2007	2014	2	Female
Metformin+diabetes+type+2	Is anyone controlling their bs with JUST metformin? I was recently told I needed to take invokana mixed with metformin and insulin. I had not been taking my metformin like I should so my readings were a bit high. But now that I'm regularly taking my meds; I'd like to know who is also and what keeps them within range. Avg bs 170s. Help cuz I don't want to take the others	2016	2016		
