Drug,Content,Joined,Posted,Age,Gender
Lisinopril+hypertension,Hi everyone; I was recently in the ER because I felt a consistent fluttering in my chest which later turned out to be PVCs. The ER kept me in; monitored me for 18 hours; and I seem to have averaged around 3-7 PVCs per minute for all of my waking hours there. This was a totally new experience for me. In the past I had felt this flutter maybe 3 or 4 times a year for about 15-30 seconds total and therefore didn't know what it was. I am in my early 50s. The tests showed no signs of MI; thryoid appeared good; and the echocardiogram was perfectly normal. So I was sent home and basically told not to worry about it. Now; I did mention the docs that about 5 days prior to this event; my GP had doubled my lisinopril from 20 mg. to 40 mg; once a day. I also take 200 mg Toprol. I am not taking a diuretic because the darn stuff was making me 'go' 15 times a day. So the Toprol and then Lisinopril was used for my hypertension. At the moment my hypertension is not as well controlled as I'd like with these two meds. I am quite overweight and struggling to lose it (I've lost about 8-10 lbs in the last few weeks) with slow progress so getting that part of my life under control is going to take time. I am aware that this could have happened coincidentally; and had nothing to do with my lisinopril being increased. But I'd like to know if it's possible that this could be the culprit.,2006,2006,,
Lisinopril+hypertension,Hi I have a history of high blood pressure. Three months ago I was put on Lisinopril 10mg. So now my Dr. wants me to try 5mg. I have a few questions. Does 5mg really work for high blood pressure? I have never really hurd of anyone taking 5mg of lisinopril for high blood pressure. Will my body withdraw or need to adjust to a lower dose? Thank you an advance.,2010,2013,30,Male
Lisinopril+hypertension,I am currently taking Lisinopril; 20mg. I take Lisinopril in a.m. without other drugs; vitamins. Within 2 hours and continues throughout the day; I am having overall weakness; cough; dizziness; legs feel like they are shaking inside; although not externally visible. B/P is sometimes 170 / 90 and other times 125 / 70 and anywhere in-between. Is there some other drug to control hypertension which does not have these side effects?,2008,2008,,
Lisinopril+hypertension,I am 55 years old and all my life I have had low blood pressure my entire life; 103/63; 99/65; 102/68; 102/64; 116/70. Two months ago my blood pressure was 102/68 and now I have had readings of 127/ ; 133; and 133. I can't remember the bottom numbers. I am alarmed but the doctor told me it is a normal consequence of aging. I can feel my heart working harder. The only test I have that comes out high normal is thyroid TSH at a range of 3.65-7.00. I am not taking thyroid medicine at this time. What do you think has happened in a two month period to cause this change?,2006,2007,55,Female
Lisinopril+hypertension,I started having BP issues after I had my kids. I have been on the highest dose of Azor; benicar and would get so/so bp but my pulse was high and I was always out of breath. I switched to 10mg of lisinopril with a low dose diuretic and it seems to be ok over all; but I will get readings in the doctors office such as 164/108. At home it's much lower and sometimes when I wake up it's 108/85. When I have a headache or sick my bp spikes to 180/110. My husband has been in pain from surgeries etc.. and his bo never spikes like mine. This new doc suggested a beta blocker but I really want to avoid taking those. He doesn't seem to really care about my health history and I think he just pushes pills and wants his patents out the door. Am I doomed to have uncontrollable BP all my life or is there a med that can help me? I am afraid I will stroke out one day while going out doing activities unknowingly with my bp spiking 200/110.,2012,2013,,
Lisinopril+hypertension,Hi! I'm a 21 year old female who just got back from overseas. While abroad; it was discovered; from a visit to the doctor for an ear infection; that I had high blood pressure. I visited the doctor twice for the ear infection. The first time; I had normal bp; but the second showed an elevated bp and pulse (though he thought at the time that it was due to my taking Claritin-D). I have since stopped taking Claritin-D; but the bp never went down. My most recent reading (about 3 months ago) was 140/95; but the previous 4 before that averaged around 150/85. While overseas; I had the usual blood tests and 24-hr urine; but that showed nothing. I was then referred to a cardiologist; had an EKG and renal ultrasound; (which I assume were both normal since I never heard anything back). I have since returned to the US; so I was never able to complete the other tests (echo; 24-bp monitoring; Holter monitoring) which the cardiologist recommended. I have not been to a doctor in the US since returning because of busy schedule (college and work). How worried should I be about this? Is this something that needs to be taken care of right away or can it wait? What are the likely causes of this sudden change in bp? If I discover that my bp has dropped since returning to the US; is it still an issue? Thanks so much!,2005,2005,,
Lisinopril+hypertension,Hi; Feeling dreadful but relieved the doctor's found the cause: hypothyroid (TSH 5.41; T3 2.5; T4 10.6) and started yesterday on levothyroxine 50ug. My Mum's got the same thing and takes 150ug levothyroxine after being diagnosed 12 years ago. My blood pressure's 175/115 and my pulse is 95. Any little thing makes be feel panicky but before all this I was a happy; calm person. Family all has low-normal blood pressure; and my triglycerides are too LOW: 0.53 g/l when the minimum should be 0.7 g/l. Cholesterol normal. Done an internet search and found that hypothyroid can cause hypertension because lack of thyroid leads to loss of strength in the heart; and stiffening of the blood vessels. So; added to this I'm asthmatic; (since age 3; now 43) and take seretide. The asthma's under control. Medicines: Seretide once a day. Since last week I'm on half a beta-blocker at night and calcium-blocker in the morning to reduce blood pressure; and it's helping: panic feeling's gone; pressure was 145/95 yesterday. Since yesterday 50ug levothyroxine; which will probably be increased next month I expect after blood tests to see how it's working. QUESTIONS: Are these medicines okay together; and how long does it take to feel better? I'm a zombie at present; can hardly get out of bed; am freezing cold etc I'm desperate for improvement. Thank you so much for your time; advice and help.,2009,2009,,Female
Lisinopril+hypertension,I am a professional violinist and recently developed an essential tremor in my bow arm which interferes greatly with my playing. My neurologist tried primidone but it has helped only a little. I asked if he could put me on Inderal which I understand can help with essential tremor. However -- the doctor pointed out that I am already on lisinopril (for hypertension) which; he claimed; ALSO is effective in treating essential tremor. So the upshot was that according to him; there was 'no point' in substituting Inderal for the Lisinopril I'm already taking since Lisinopril is JUST AS EFFECTIVE in treating essential tremor as Inderal. But is this right?? I've read about lisinopril and see no mention whatsoever of its being helpful for essential tremor (Of course I know it's effective for high blood pressure),2008,2008,64,Male
Lisinopril+hypertension,I have been taking Lisinopril for 2 years and since then my resting heart rate is between 90-100. Here recently though after I take Lisinopril it has jumped to 130 when walking 100 when resting. I take Lisinopril in the morning and my pulse jumps but at night it gos back to being okay (Lisinopril's half life is 12 hours). I haven't taken today because I was out but my resting pulse is 90 and when I went to WalMart it went no higher than 110 unlike 140 yesterday. I am a 24 overweight male 5'4" 190 and I am out of shape. I was taking supplements with the Lisinopril (Fish Oil; Coq10; Vitamin C; Folic Acid) and my heart rate was actually normal for 5 months but I stopped taking them after I encountered Gastritis (deemed later viral). I have 7 EKG's done even when my pulse shot up to 160 last week and all Sinus Tach. Cardiac Enzyme test was normal and chest Xray showed no enlarged heart or arteries. My cholesterol is also slight elevated. MY bp off the Lisinopril is 145/85 and I see a cardiologist for the first time on Wednesday is it safe for me not to take the Lisinopril till then? MY kidneys are also fine and my Liver. Why would Lisinopril cause the Tach and then sudden increase. Asked a Pharmacist and he said that it is a downplayed side effect of Ace Inhibitors that it does happen. My Blood Pressure has been around normal all day the highest is 135/80 when I eat and my pulse is around 90-100 now 3rd day off of Lisinopril.,2009,2009,,Male
Lisinopril+hypertension,I had some blood tests last month; my Total Cholesterol was 292. (200 being normal) I also have hypertension in the past years. Are hypertension and cholesterol connected? I know that bad cholesterol can form clots in the arteries and raise blood pressure.... but If I lower the cholesterol level (which I have been doing the past month) will it help to lower blood pressure also or will the clots remain in the arteries and still have high bp?,2018,2018,35,Male
Lisinopril+hypertension,I have had type 1 Diabetes for 21 years. For the last five years I've had excellent control. I've had two healthy babies and an A1C of 5.0-6.5. Unfortunately I've had more years out of control than in control. Today my lab results showed protien in my urine. I am not taking this well; even though I knew it was inevitible because of my history. My Doctor has perscribed Lisinopril after I have my third child. My questions are: Are there many type 1 who have to be on this type of pill for life? Is there a way to stop the protien from spilling over even with good A1C? I feel like this is the beginning of a long road of battles. Like it's all downhill complications from here. Is this accurate? So far I've been very healthy; am I a walking time bomb? Any words of comfort yet real truths would be appreciated. Thanks,2007,2007,,
Lisinopril+hypertension,I have been being treated with atenolol then started lisinopril @ 10mg; upped to 20 then 40mg over the last 2 months with no change in my BP. It is still 160/100 range. Is it likely I will show a response to these meds over the next several weeks? Are some people just resistant to the meds? Thank you.,2012,2012,,Female
Lisinopril+hypertension,I am a 72 y.o. male; have been taking Lisinopril for at least two years in the a.m. with no other drugs or vitamins. Approximately four weeks ago; two/three hours after I take Lisinopril; I began weakness; lightheaded; legs shake (internally; cannot visibly be observed); cough. Could you suggest a substitute that does not have these side effects?,2008,2008,,
Lisinopril+hypertension,On Aug. 7; 2009 I had a dual chamber; rate adaptive pacemaker implanted. The surgery was successful; but I became hypertensive within 12 hours after the implant with a reading of 160+/80 which rose to 203/93. I was given medication to reduce my blood pressure which did eventually drop to about 145/75 . I was discharged and prescribed 10 mg. of Lisinopril daily. However; my bp has remained high at 177-155/93-74. Before the implant it was 140-125/70-62. The pacemaker is set to pace at 50-130 bpm. Has anyone had a similar experience of their bp undergoing a significant increase in bp after an implant and; if so; what was done to overcome the increase ? I would appreciate a comment from anyone on this. I will be seeing the cardiologist on Aug. 19. Thanks in advance for your help. AAF,2009,2009,78,Male
Lisinopril+hypertension,Today I saw a new doctor for the first time. She mentioned that my BP was very high. ( 158 over 90 )I have noticed since December a rise in my blood pressure; but nowhere this high. However prior to that it was quite low; usually no higher than 120 over 70. She has prescribed Lisinopril 10mg. I have never been one to take any kind of medication. So I am a bit weary of this. This was the first time I saw her; and I know I have anxiety problems. I mentioned it to her; but she said "we need to get it down now". Is it safe to be taking this medication without further monitoring?,2007,2009,60,Male
Lisinopril+hypertension,Thank you. Above Dx from a specialized PH clinic in mid-2005; made by echocardiogram with an IV contrast agent; while exercising on a supine bike. I also did a 6-minute walk achieving 1580 feet. My EIPH was described as being caused by my BP being inadequately controlled. Many other tests were performed and all perceived normal. No RH cath. Present medication daily: diltiazem 120mg; lipitor 10mg; lisinopril 25mg and,2005,2006,,
Lisinopril+hypertension,I'm 48 year old male; I had very high untreated hypertension for I don't know how long. I went to the doctor and he prescribed Metoprol 100mg.; Lisinopril 25mg.; & Norvasc 10mg. daily. Also 1/2 hydrochlorithizide 25mg every other day. Before this there were never ED problems; but since there has been. Are there any other medications to lower blood pressure without this side effect? As of now the hypertension is under control with these meds.,2008,2008,,Male
Lisinopril+hypertension,I am a 44 year old white male and after a recent physical (dec. 2008) it was determined that i am hypothyroid; and now being treated with levothyroxine 25mcg. after normal blood pressure it is now in the hypertension zones 152sys. over 105dis. to make a long story short i am now on 40 mg. lisinopril; with 25 mg hydrochlorothiazide; and 10 mg. pravastatinsodium to combat the hypertension and the higher than normal cholesterol reading. As of today my tsh level is normal but my blood pressure is still up in same high area;it hasnt changed and i still feel jittery; and jumpy. any input on why the treatment is not taking effect. thank you,2008,2009,,
Lisinopril+hypertension,I'm a 26yo Male 6'1" 205 good health. Fall 2006 went into ER for Migrains discoverd BP was 172/102; come to find out later after constant migraines ( that I thought were related to hypoglycemia ) were due to pulmunary hypertension. I went to my DO he and he didnt seem to have an issue with a 26yo male having a BP on a 24/hr avg 166/96; so I asked for a refferal to a cardiologist. Later I had a workup done follwoing a CT; Renal Duplex study and a Agiogram ( because they thought i had bi-lateral renal aterie stenosis; which I did'nt) Only in my Ciliac Axis was there stenosis found with an 80% occulusion. I was taking Lisinopril after having a cough I had been taken off the ACE inhibitor; now I take Hayzaar 50 12.5; on avg my B/P is 148/88. Only a daily baisis i'm borderline tachycardic 98-116. When excersising I avg 166 HR; which worries me. if I get down or lay in certain positions it feels like my head is gonna explode; and even sometime while ambulating. I don'y want kidney failure nor do I want to be stuck on meds my remainder; Does anyone have feedback on what it might be; should I have a stress echo or have my adrenal cortex checked along with my thyroid? I want to trouble shoot my disease because it prevents me from daily excersising. I also read a few blurps about chronic depleation or dehydration can cause hypertension in my case I drink less than a dialysis pt; lol because either i forget or don't thirst.,2007,2007,,
Lisinopril+hypertension,Hello all. Background info- 39 yr old female. So a couple months ago I went to a wellness clinic at work and my bp read at 200/106. I had no symptoms; they begged me to see a dr asap and so I went to the ER that night. My bp was 213/109 at that point and for whatever reason the doctor that evening initially said there wasn't really anything to be done as I had no real "symptoms" even though the attending nurses kept emphasizing it was the "silent killer". Eventually someone came in and randomly put meds in my IV without saying a word. My bp came down only to shoot right back up moments later. They gave me a prescription for labetalol and said to fill it immediately and see my PCP asap. A few days later I saw my doctor; my bp was still really high even on the meds. She switched me to 100mg ER Metoprolol to take in the morning and 20mg lisinopril for the night. I had to take my bp every day and went back every week. Every week it would be high at the dr Office and she would increase the lisinopril. Mind you; I didn't take prescription anything prior to this except maybe an antibiotic when needed. Now I'm on these high doses of bp meds. Initially I thought well I'll get used to them; there's always an adjustment time. Almost two months in and I can barely function. I'm on intermittent FMLA because I have to keep missing work. I feel separated from my body at times; I have visual disturbances; sometimes my bp plummets way down; and most of the time I'm just lying on the couch crying; frustrated about my inability to do anything. I used to work out five days a week; now I've gained 10 lbs in two months. I'm not suicidal but plenty of times I've thought it would be easier to have just stayed off the meds and ignored the bp and just let nature run its course. So FINALLY this week she decided we should stop the lisinopril at least and see if my bp stays down. BUT she suggested adding Prozac. All my tests and blood work have been clear amazingly enough so there doesn't appear to be a real health issue. She now believes it was triggered by anxiety. She is giving me a week to read about Prozac and consider it. She did tell me there were side effects but said its "gentle". I am so SO terrified to add something like that esp with how low I've been feeling lately. I know from what I've read the first few weeks can be awful. My mom took Prozac in the 80s for major depression. It was terrible. She didn't get out of bed for a year really and I should mention; she was taking diltiazem at the time. I am at a loss for what to do. The side effects of Prozac seem like they would enhance the side effects that I am having from metoprolol. Have any of you taken this combination or similar and ultimately did you feel it was worth it? I just know I can't continue on like I am feeling now. Thanks for your time,2018,2018,,Female
Lisinopril+hypertension,Thank you. I was recently diagnosed with #1 Exercise-induced pulmonary hypertension #2 Essential hypertension; by two PH specialists at a PH Clinic. I had an exercise echocardiogram with PP's of 32mm at rest increasing to 60mm on exercise. My systemic BP also increased from 160/80 at rest up to 180/105 on exertion. I did a 6-minute walk where my initial BP was 142/100; 175/110 at completion of 1580 feet. I was extremely nervous during all these events. The diagnoses was that my PH is related to my high BP being inadequately controlled - Cardizem CD 120mg qd + 325mg aspirin; with my BP on average 142/75 at home. So; the Cardizem was increased to 320mg qd; with the understanding that after follow-up with my (new) doctor 2 weeks hence; if my BP was still high then this dosage should be increased or a second agent added. (Other tests were done during my two days at the clinic; but no RH cath.) On follow-up with my PCP; Cardizem was reduced to 120 mg qd PM and Lisinopril 2.5 mg added AM. I also continue to take 325mg aspirin AM and Lipitor 10mg PM. My question: I recently have been experiencing muscle pain in both the upper and lower portions of my arms - mostly the right arm - pain which comes and goes in frequency and level; PM on average the worst. Is this something I need worry about? I am due to revisit the doctor in three months. I have previously posted here; on the initial diagnosis; of pulmonary hypertension. MBT,2005,2005,,
Lisinopril+hypertension,I was diagnosed with hypertension 15 days ago. I was first put on Lisinopril which after 10 days did not bring my blood pressure down. At which point my doctor wanted to put me on Coreg CR. I have asthma; and have been suffering somewhat from shortness of breath so I had concerns being put on a beta blocker. So he put me on Norvasc. I have been on that since May 29th. My blood pressures are still running somewhat high at times. The problem is the diastolic and the heart rate. Earlier today it was 144/102 but at that point my heart rate was 73. Some of my recent readings are 141/101 pulse of 104: 129/104 with a pulse of 90; 137/102 with a pulse of 102. I have a couple of questions. 1) is it a danger when the systolic minus the diastolic are less than 40 in difference? 2) I did not get to see my physician but did see the PA...and I told her that there is a history of strokes (dad; sister) in my family. And told her that was a concern; is it? She did not seem to think so. My chest does not feel normal. Could that be due to the changes with the hypertension and the medications? I did make an appointment with a cardiologist; but it is not until the 10th. Thanks for your time; Concerned,2008,2008,,
Lisinopril+hypertension,I just got recently diagnosed with Adult ADHD and started the treatment process. My doctor put me on adderall XR Oral (but on the bottle it says amphetamine salts). I know that there is usually a feeling out process when it comes to ADHD and the various treatments. However; I have hypertension and in my research; I've noticed that this is not recommended for people with hypertension. I started taking it on Saturday and noticed that my blood pressure; (that I was being treated for with atenlol and lisinopril) shot up to about 160/100 on average. This has me obviously concerned. I've noticed the difference in my overall behavior and concentration but the spike in blood pressure makes me nervous. So my questions are this: 1. (and I think I know the answer to this) should I really be concerned yet? 2. Are there recommended treatments for people with ADHD and hypertension? 3. What medications should I look into with my physician? 4. Could increaseing my dosage on my blood pressure medication maybe reduce the effect of the adderall? 5. Is there any blood pressure medication that could help? Thanks.,2009,2009,36,Male
Lisinopril+hypertension,Hello everybody. I would like to have some hypertension success stories. It is important to me - to know that anyone did this! Please... Please; write HOW did you succeed with your hypertension.,2007,2007,,
Lisinopril+hypertension,Hi; I have previously been drinking any types of tea and have had no coughs and colds. However; I notice that eversince I've been on hypertension medication; I have been having coughs and colds after drinking tea. It takes a very long time to cure. Is there any feedback or research done where I can get some clarification on the side effects of drinking tea with hypertention medication? Please advise. Thank you.,2008,2008,,
Lisinopril+hypertension,I have had a fib episodes for 30 yrs. First lanoxin; then tenormin and after a few cardioverts; now sotalol. I have been episode free for 2 yrs but have always had a pressure on my chest that comes and goes. This time I though it was a heart attack ; ended up in ER; BP was soaring but strip looked good. My cardiologist was called he decided t admit me to chek it all out. I had stress echo which then led to cath . Conclusion is that there are no blockages(less than 10%) but I have very thick heart muscle and pain may be from blood not getting through fas enough. Also found that I had very high internal heart pressures. I am now on lisinopryl; taztia and lasix when previously my BP was described as a high normal; in the 130's range. My pressure while using the meds is anywhere from 140-170 /68 with pulse of 66. I feel lousy; headachy; still have chest titenes occassionaly and no energy. I still take the sotalol twice a day. Can you explain how this can happen so quickly; and if this all makes sense to you and what the prognosis isbecause I dont understand it at all. Also I take stalol and lasix in AM. taztia at noon; and sotalol and lisinopril in eveneing (12hrs from prev). I am 63 and weigh 280 at 73" tall.,2007,2007,,
Lisinopril+hypertension,I have posted on this forum in the past in regard to my "unexplained" LAD blockage and subsequent CABG. At age 54 after 30 years of very active running and cycling; I was diagnosed with a blockage of the LAD at the bifurcation. The only symptoms I was having was shortness of breath in the first 1/4 mile or so of my daily runs.Presumably; this was due to my fairly extensive collateral network. My risk profile appeared to be benign with LDL of 130; HDL 60; never smoked; not diabetic; and normal ambient blood pressure. Family history was not perfect as father had CABG at age 68 after lifetime of smoking. Mother well at 82. I did find post surgery that my homocysteine was high. In a stress test some months prior to the blockage diagnosis it was reported that the test was terminated due to exaggerated blood pressure response to exercise. I was never told of this. Peak systolic pressure reached 230mm at about 15 METs. More recently; I was found to have LVH with septal wall of 15mm. It reversed to 11mm after 8 months of 5mg of lisinopril. I have now run into an an article documenting severe atheroscherosis and calification in a 30 year marathon runner with exercise induced hypertension with an otherwise "clean" risk profile (Am J Cardiol 2007;99:743-744). Is it possible that this exercise induced hypertension is what is behind my otherwise unexplained disease? Do I need to quit running? With statin therapy; my LDL is now 88 and I am on a low dose of Toprol XL for occational Afib.,2003,2007,,
Lisinopril+hypertension,My husband sweats a lot when exercising and playing golf. He takes Lisinopril and he has had several episodes of lightheadedness; nausea and vomiting; and low BP while playing golf. Are there other classes of anti-hypertensives that don't result in hypotension DT excessive sweating? He's also had 7 kidney stones in the last 5 months. Could Lisinopril and his excessive sweating be a contributing factor?,2009,2009,,
Lisinopril+hypertension,I'm a 63 yr old female who has recently been diagnosed with both hypothyroidism and hypertension. I haven't really experienced any overt symptoms of hypothyroidism beyond dry skin and possibly "brain fog" (after reading some of the comments of other posts - I think I can identify with that!). My TSH was extremely high (52 -- normal lab values to 2.5) and can't figure out why I didn't have more symptoms. My BP in Dr's office was very high - 177/90. Since then I have followed it at home for a week and have found only about 1 high reading a day of about 136/79 with 4 or 5 readings of about 117/74 with occasionally much lower readings. I've been on Lisinopril 20mg for 7 days and Levothyroxin 50 mcg for 4 days and feel "strange"-- sometimes light-headed and weak. Is it possible to connect the elevated BP and hypothyroidism and is it possible to have a TSH value that high and not experience more hypothyroid symptoms? I am otherwise healthy although 40# overweight and have suffered from venous insufficiency (varicose veins - with much inflammation and painful ulcers) all my life.,2009,2009,,
Lisinopril+hypertension,I've read reports that lisinopril (which I take for hypertension) is being studied as a possible MS med. Do any of you also take lisinopril? If so; have you experienced possible MS benefits? My MRIs have remained unchanged for several years . . . . maybe lisinopril is connected; or maybe that is just how things were going to roll anyway. Just curious; Sherry,2007,2011,,Female
Lisinopril+hypertension,I have been suffering from pulsing in my vision for several years now. It began when I was 14; and has continued since then (I am currently 17). I am able to see veins/blood vessels in my eyes which throb (visually) in sync with my pulse. My vision is distorted slightly in the areas surrounding these vessels while they are throbbing (not severely; the area simply warps slightly). The effect is more noticable when I'm in brightly lit areas; and is also often acccompanied by a sensation of pressure and discomfort (which by some definitions could verge on pain occasionally) as well. This symptom is exacerbated when I bend over or exercise. I have been diagnosed with essential hypertension and am currently taking 20mg of Lisinopril daily as treatment. I have seen several specialists including a nephrologist; a cardiologist; an opthamologist; and a neurologist. The doctor who referred me to them was a pediatrician; and was initially concerned that I may have had an aneurysm. I was sent for an MRI; which was returned as normal. Further testing; including a renal scan; echocardiogram; several eye exams; and a chest x-ray showed no significant problem; gibing me given some insight into the nature of my problem: the nephrologist suggested that my hypertension could have been triggered by adolescence; adding that it may or may not gradually disappear with time. These tests did not; however; explain my visual symptoms; which I find quite distressing. I'm concerned that either my condition hasn't been properly diagnosed; or that my blood pressure is not being consistently controlled. Does this diagnosis sound right to you? Many thanks in advance; -Origin PS: There is one other fact I feel may be relevant: The opthamologist mentioned that I had an "anomalous optic nerve.",2011,2012,,Male
Lisinopril+hypertension,I am a male in my 40's with elevated cholesterol; high triglycerides; slight hypertension and pre-diabetic. I do take crestor; tricor; and metformin to control those and they are now normal. I take Lisonopril for BP. A few days ago; I woke up from sleep with my heart racing; slight angina and feeling a bit dizzy. Went to the ER where they did a EKG; and echo and chest x-ray. None of them indicated any blockage. However; my HR didn't go down even when I was lying down and on IV fluids. It stayed steady art 110-120 and my BP was high. They did a test to measure my BP while I was lying down (135/100) and when I was standing up (168/117) .. so my BP went up on standing. They sent me home with a beta-blocker (Metoprolol) and that slightly lowered my heart rate to the 90s and my BP is around 130/90. The doctors couldn't figure out the cause for the episode. I am resting at home at the moment; but I am concerned about taking the beta-blockers. Will this mask a larger issue? I read that higher HR rate typically is accompanied with lower BP; but with me it is the opposite. Also; right after I take the BB; I feel a bit numb and woozy ... it does go away after a while. And a few hours after I take the BB; the HR gets back to the 100s... Any advice on what could be the underlying cause? How concerned should I be?,2015,2015,,Male
